number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state,Environment,Agent,params_exploration_fraction,params_target_update_interval,params_PPO_n_steps,params_ent_coef
16,-98.2,2023-12-12 00:14:42.312651,2023-12-12 00:15:32.712010,0 days 00:00:50.399359,,0.9201346779149124,0.0009748089545214,,COMPLETE,CartPole-v1,DQN,0.3345700631308985,1917.0,,
17,-179.5,2023-12-12 00:15:32.719060,2023-12-12 00:16:22.329229,0 days 00:00:49.610169,,0.9446917999264054,0.000251366593658,,COMPLETE,CartPole-v1,DQN,0.406536766208652,1502.0,,
18,-9.7,2023-12-12 00:16:22.337231,2023-12-12 00:17:12.023240,0 days 00:00:49.686009,,0.9574138035820476,1.0285367556350675e-05,,COMPLETE,CartPole-v1,DQN,0.3244459655060535,1803.0,,
19,-187.3,2023-12-12 00:17:12.032241,2023-12-12 00:18:01.950824,0 days 00:00:49.918583,,0.9332853974966268,0.0001080801056853,,COMPLETE,CartPole-v1,DQN,0.3933722756904951,1115.0,,
20,-225.1,2023-12-12 00:18:01.958825,2023-12-12 00:18:51.659811,0 days 00:00:49.700986,,0.9004738614343695,0.0006279341811194,,COMPLETE,CartPole-v1,DQN,0.432014017388527,1438.0,,
21,-127.5,2023-12-12 00:18:51.667811,2023-12-12 00:19:41.254790,0 days 00:00:49.586979,,0.9002130085287084,0.0004905028515409,,COMPLETE,CartPole-v1,DQN,0.4317565089701339,1437.0,,
22,-95.1,2023-12-12 00:19:41.262793,2023-12-12 00:20:30.808891,0 days 00:00:49.546098,,0.9157723709477572,0.0010567300373473,,COMPLETE,CartPole-v1,DQN,0.3724698623251276,1237.0,,
23,-226.7,2023-12-12 00:20:30.816893,2023-12-12 00:21:21.016266,0 days 00:00:50.199373,,0.9105092389826276,0.0002880084025585,,COMPLETE,CartPole-v1,DQN,0.4279644471825964,1657.0,,
24,-203.9,2023-12-12 00:21:21.024348,2023-12-12 00:22:10.970516,0 days 00:00:49.946168,,0.9116200837853212,0.000141729033501,,COMPLETE,CartPole-v1,DQN,0.4149276101642485,1679.0,,
25,-180.8,2023-12-12 00:22:10.981520,2023-12-12 00:23:00.718862,0 days 00:00:49.737342,,0.9099342553916604,5.850501755575753e-05,,COMPLETE,CartPole-v1,DQN,0.4909165982099527,1781.0,,
